Region/Country/Area,,Year,Series,Value
4,Afghanistan,2020,Emissions (thousand metric tons of carbon dioxide),"11,251"
4,Afghanistan,2021,Emissions (thousand metric tons of carbon dioxide),"10,013"
4,Afghanistan,1975,Emissions per capita (Kilograms of carbon dioxide),0.1
4,Afghanistan,1985,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2005,Emissions per capita (Kilograms of carbon dioxide),0.1
4,Afghanistan,2010,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2015,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2019,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2020,Emissions per capita (Kilograms of carbon dioxide),0.3
4,Afghanistan,2021,Emissions per capita (Kilograms of carbon dioxide),0.3
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,224"
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,470"
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"4,061"
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,072"
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),"3,809"
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),"3,973"
8,Albania,2020,Emissions (thousand metric tons of carbon dioxide),"3,451"
8,Albania,2021,Emissions (thousand metric tons of carbon dioxide),"3,903"
8,Albania,1975,Emissions per capita (Kilograms of carbon dioxide),1.8
8,Albania,1985,Emissions per capita (Kilograms of carbon dioxide),2.5
8,Albania,2005,Emissions per capita (Kilograms of carbon dioxide),1.3
8,Albania,2010,Emissions per capita (Kilograms of carbon dioxide),1.4
8,Albania,2015,Emissions per capita (Kilograms of carbon dioxide),1.3
8,Albania,2019,Emissions per capita (Kilograms of carbon dioxide),1.4
8,Albania,2020,Emissions per capita (Kilograms of carbon dioxide),1.2
8,Albania,2021,Emissions per capita (Kilograms of carbon dioxide),1.4
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"16,361"
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"52,394"
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"91,028"
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"95,093"
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),"126,137"
12,Algeria,2019,Emissions (thousand metric tons of carbon dioxide),"144,053"
12,Algeria,2020,Emissions (thousand metric tons of carbon dioxide),"133,590"
12,Algeria,2021,Emissions (thousand metric tons of carbon dioxide),"145,975"
12,Algeria,1975,Emissions per capita (Kilograms of carbon dioxide),1
12,Algeria,1985,Emissions per capita (Kilograms of carbon dioxide),2.4
12,Algeria,2005,Emissions per capita (Kilograms of carbon dioxide),2.8
12,Algeria,2010,Emissions per capita (Kilograms of carbon dioxide),2.7
12,Algeria,2015,Emissions per capita (Kilograms of carbon dioxide),3.2
12,Algeria,2019,Emissions per capita (Kilograms of carbon dioxide),3.4
12,Algeria,2020,Emissions per capita (Kilograms of carbon dioxide),3.1
12,Algeria,2021,Emissions per capita (Kilograms of carbon dioxide),3.3
16,American Samoa,2005,Emissions (thousand metric tons of carbon dioxide),498
16,American Samoa,2010,Emissions (thousand metric tons of carbon dioxide),501
16,American Samoa,2015,Emissions (thousand metric tons of carbon dioxide),412
16,American Samoa,2019,Emissions (thousand metric tons of carbon dioxide),407
16,American Samoa,2020,Emissions (thousand metric tons of carbon dioxide),392
16,American Samoa,2021,Emissions (thousand metric tons of carbon dioxide),392
16,American Samoa,2005,Emissions per capita (Kilograms of carbon dioxide),8.7
16,American Samoa,2010,Emissions per capita (Kilograms of carbon dioxide),9.1
16,American Samoa,2015,Emissions per capita (Kilograms of carbon dioxide),8
16,American Samoa,2019,Emissions per capita (Kilograms of carbon dioxide),8.6
16,American Samoa,2020,Emissions per capita (Kilograms of carbon dioxide),8.5
16,American Samoa,2021,Emissions per capita (Kilograms of carbon dioxide),8.7
20,Andorra,2005,Emissions (thousand metric tons of carbon dioxide),596
20,Andorra,2010,Emissions (thousand metric tons of carbon dioxide),534
20,Andorra,2015,Emissions (thousand metric tons of carbon dioxide),481
20,Andorra,2019,Emissions (thousand metric tons of carbon dioxide),505
20,Andorra,2020,Emissions (thousand metric tons of carbon dioxide),389
20,Andorra,2021,Emissions (thousand metric tons of carbon dioxide),425
20,Andorra,2005,Emissions per capita (Kilograms of carbon dioxide),7.5
20,Andorra,2010,Emissions per capita (Kilograms of carbon dioxide),7.5
20,Andorra,2015,Emissions per capita (Kilograms of carbon dioxide),6.7
20,Andorra,2019,Emissions per capita (Kilograms of carbon dioxide),6.6
20,Andorra,2020,Emissions per capita (Kilograms of carbon dioxide),5
20,Andorra,2021,Emissions per capita (Kilograms of carbon dioxide),5.4
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),"2,336"
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),"2,169"
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),"6,017"
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),"14,935"
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),"17,862"
24,Angola,2019,Emissions (thousand metric tons of carbon dioxide),"16,521"
24,Angola,2020,Emissions (thousand metric tons of carbon dioxide),"11,789"
24,Angola,2021,Emissions (thousand metric tons of carbon dioxide),"14,522"
24,Angola,1975,Emissions per capita (Kilograms of carbon dioxide),0.4
24,Angola,1985,Emissions per capita (Kilograms of carbon dioxide),0.2
24,Angola,2005,Emissions per capita (Kilograms of carbon dioxide),0.3
24,Angola,2010,Emissions per capita (Kilograms of carbon dioxide),0.6
24,Angola,2015,Emissions per capita (Kilograms of carbon dioxide),0.6
24,Angola,2019,Emissions per capita (Kilograms of carbon dioxide),0.5
24,Angola,2020,Emissions per capita (Kilograms of carbon dioxide),0.4
24,Angola,2021,Emissions per capita (Kilograms of carbon dioxide),0.4
660,Anguilla,2005,Emissions (thousand metric tons of carbon dioxide),112
660,Anguilla,2010,Emissions (thousand metric tons of carbon dioxide),132
660,Anguilla,2015,Emissions (thousand metric tons of carbon dioxide),140
660,Anguilla,2019,Emissions (thousand metric tons of carbon dioxide),147
660,Anguilla,2020,Emissions (thousand metric tons of carbon dioxide),139
660,Anguilla,2021,Emissions (thousand metric tons of carbon dioxide),143
660,Anguilla,2005,Emissions per capita (Kilograms of carbon dioxide),9.2
660,Anguilla,2010,Emissions per capita (Kilograms of carbon dioxide),10
660,Anguilla,2015,Emissions per capita (Kilograms of carbon dioxide),9.6
660,Anguilla,2019,Emissions per capita (Kilograms of carbon dioxide),9.6
660,Anguilla,2020,Emissions per capita (Kilograms of carbon dioxide),8.9
660,Anguilla,2021,Emissions per capita (Kilograms of carbon dioxide),9.1
28,Antigua and Barbuda,1975,Emissions (thousand metric tons of carbon dioxide),719
28,Antigua and Barbuda,1985,Emissions (thousand metric tons of carbon dioxide),254
28,Antigua and Barbuda,2005,Emissions (thousand metric tons of carbon dioxide),490
28,Antigua and Barbuda,2010,Emissions (thousand metric tons of carbon dioxide),558
28,Antigua and Barbuda,2015,Emissions (thousand metric tons of carbon dioxide),589
28,Antigua and Barbuda,2019,Emissions (thousand metric tons of carbon dioxide),650
28,Antigua and Barbuda,2020,Emissions (thousand metric tons of carbon dioxide),628
28,Antigua and Barbuda,2021,Emissions (thousand metric tons of carbon dioxide),646
28,Antigua and Barbuda,1975,Emissions per capita (Kilograms of carbon dioxide),10.4
28,Antigua and Barbuda,1985,Emissions per capita (Kilograms of carbon dioxide),3.9
28,Antigua and Barbuda,2005,Emissions per capita (Kilograms of carbon dioxide),6.1
28,Antigua and Barbuda,2010,Emissions per capita (Kilograms of carbon dioxide),6.5
28,Antigua and Barbuda,2015,Emissions per capita (Kilograms of carbon dioxide),6.6
