,Country,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
54,Iran (Islamic Republic of),88.1,98.7,107.0,111.0,66.9,66.5,4424,6207,4642.0,4.9,18.7,71.4,45.4,17.6,10.3,11.8,,3.0,,0.6,4.2,159.0,,84.1,92.4,95.9,,,80.9,205321,114364,1881,2.4,23.4,7.8,47.5,77.42,37.88,39.54,104.4,1631.0,0.9
55,Iraq,44.2,68.8,86.1,103.7,26.7,37.9,1131,4335,576.0,6.4,11.5,73.7,41.8,7.4,8.8,8.6,,8.6,,3.1,14.2,,,37.8,55.0,62.7,32.8,34.3,34.9,32111,4863,232,-18.3,41.2,4.6,71.5,31.05,15.58,15.46,99.2,435.0,0.9
56,Ireland,103.9,100.0,102.9,103.3,130.2,113.0,175,454,142.0,12.0,54.6,75.9,65.1,4.0,4.6,4.3,302.8,1.3,1.8,0.4,2.1,1428.7,43.7,,92.1,,68.5,69.5,70.1,101702,69142,19316,9.6,21.1,16.1,66.7,4.56,2.29,2.26,98.7,70.0,17.9
57,Israel,90.9,89.7,95.7,95.3,103.1,104.6,317,722,356.0,11.7,55.3,68.7,61.8,11.6,11.1,11.3,761.3,2.5,6.2,1.4,3.6,1866.1,68.5,99.5,99.6,99.7,85.7,87.4,87.5,143883,105307,19221,8.8,28.0,14.2,339.0,7.34,3.71,3.63,97.9,22.0,20.9
58,Italy,103.8,107.0,103.5,104.4,95.8,95.1,1792,2771,2715.0,11.1,38.1,61.1,49.1,10.0,6.2,7.7,97.3,1.0,0.6,0.5,1.7,1885.5,6.9,,95.4,,78.1,79.0,79.4,1662885,1174699,20650,2.9,14.0,26.7,203.3,60.16,31.02,29.15,94.0,302.0,23.1
59,Japan,101.6,101.7,102.3,102.6,103.0,102.5,3551,6638,3670.0,4.6,48.3,73.3,60.4,4.2,4.6,4.5,47.2,0.5,0.2,0.5,0.5,722.5,8.5,,98.1,,,97.9,,3785636,5545565,44211,2.6,13.4,31.2,340.2,128.19,65.48,62.71,95.8,378.0,30.0
60,Jordan,87.4,87.1,90.9,90.9,75.3,72.1,449,805,176.0,0.0,11.5,63.2,38.3,26.1,12.9,14.8,258.5,1.7,0.5,1.1,2.2,124.5,8.8,,64.0,,,79.4,83.8,15697,6942,1557,6.2,36.0,5.3,82.2,7.3,3.52,3.78,107.2,89.0,2.6
61,Kazakhstan,88.9,89.6,96.8,99.4,97.1,96.0,1443,1208,551.0,10.4,64.6,75.0,69.5,9.5,6.7,8.1,9.6,13.5,0.6,3.9,13.2,403.3,2.1,,77.9,,,,86.9,57792,20554,1251,-8.2,25.4,9.6,6.2,16.84,8.79,8.05,91.6,2725.0,0.7
62,Kenya,84.4,86.1,101.3,106.4,25.9,29.0,1522,6076,947.0,3.6,70.8,75.5,73.1,2.9,2.6,2.8,35.5,3.0,0.4,2.6,7.1,34.0,7.2,,,,28.9,27.8,24.1,31539,14710,547,4.4,43.6,3.3,71.6,41.6,20.87,20.73,99.3,592.0,0.3
63,Kiribati,103.9,98.7,107.2,106.1,73.3,59.7,7,16,5.0,4.9,20.4,32.8,26.4,18.2,12.3,14.7,,4.4,,,,,,5.8,11.8,18.4,19.6,22.1,24.9,126,70,854,-0.5,36.6,5.5,149.7,0.11,0.06,0.05,95.0,1.0,1.8
64,Kuwait,106.7,103.0,110.7,109.7,124.1,105.5,138,203,107.0,0.0,46.1,82.2,68.3,3.2,0.9,1.5,26.6,1.8,12.5,1.7,1.9,438.0,16.6,,100.0,100.0,,100.0,100.0,54453,26554,16043,1.4,23.0,3.2,165.2,2.94,1.27,1.68,132.2,18.0,6.7
65,Kyrgyzstan,85.6,86.6,96.2,97.7,71.0,74.4,539,434,183.0,1.4,62.8,82.2,72.1,2.5,2.3,2.4,5.1,,0.5,,,237.5,,41.2,57.6,87.6,93.5,89.2,81.5,2678,1492,325,-5.4,30.3,6.5,28.6,5.49,2.78,2.71,97.4,200.0,1.0
66,Latin America & the Caribbean,102.3,98.0,114.5,118.2,73.9,65.1,36809,69082,21638.0,15.2,50.1,78.3,63.9,10.5,6.7,8.2,,20.4,,3.7,37.4,,,45.1,73.8,81.6,,37.0,27.9,3179449,1993319,4133,1.1,27.6,9.9,29.1,588.91,297.74,291.17,97.8,20139.0,5.2
67,Latvia,103.2,107.2,103.5,106.1,101.4,97.1,162,84,110.0,17.0,50.7,65.6,57.4,10.0,10.1,10.0,49.3,9.2,0.3,2.7,4.1,1087.6,32.3,,93.7,,,72.7,,12345,5408,2104,0.2,14.2,23.8,33.7,2.1,1.14,0.96,84.3,65.0,6.3
68,Lebanon,,,,,,,218,476,160.0,2.3,20.6,68.0,43.8,9.7,7.8,8.2,190.1,3.3,11.2,1.0,2.8,574.8,4.2,,45.7,,,21.8,,24111,11506,2906,6.5,26.4,8.8,492.8,5.04,2.53,2.51,99.0,10.0,8.0
69,Lesotho,52.5,40.6,123.7,125.5,26.1,22.8,70,422,25.0,3.8,63.1,76.9,69.8,18.0,14.2,16.0,499.1,37.7,2.0,,,249.0,,5.0,18.4,59.1,28.6,28.6,28.4,1079,893,462,4.6,36.5,6.2,65.8,2.0,1.03,0.97,94.5,30.0,0.2
70,Liechtenstein,96.0,97.0,106.7,104.9,104.6,136.4,2,2,2.0,4.0,52.8,73.7,63.0,3.1,2.3,2.6,204.1,2.9,0.0,0.0,5.6,416.9,20.4,,100.0,,,96.2,,3677,2695,87253,1.9,16.1,20.0,225.0,0.04,0.02,0.02,98.1,0.0,36.5
71,Lithuania,105.0,107.7,102.4,103.2,101.9,96.9,318,158,106.0,17.5,50.6,62.3,55.9,8.5,8.1,8.3,12.1,11.0,2.1,5.5,17.5,818.7,16.5,,82.5,96.9,72.8,84.5,90.3,17906,6699,1788,3.3,14.9,22.8,49.5,3.1,1.67,1.43,85.6,65.0,6.4
72,Luxembourg,106.4,102.2,99.8,99.9,89.1,82.0,18,35,18.0,16.7,46.4,65.1,55.6,5.8,3.5,4.5,488.1,0.4,5.3,0.4,0.4,1423.5,41.6,100.0,99.8,99.8,85.9,92.5,93.3,30592,20853,51157,1.4,17.7,19.0,195.9,0.51,0.26,0.25,98.9,3.0,22.9
73,Madagascar,26.9,26.9,131.4,134.3,10.0,11.0,496,3598,126.0,8.0,84.2,89.0,86.6,3.5,1.8,2.6,15.9,,0.0,,,0.3,3.2,6.7,13.7,28.4,5.4,7.2,11.2,6387,3668,264,1.7,44.0,4.2,38.1,22.18,11.06,11.13,100.6,587.0,0.2
74,Malawi,32.9,42.1,134.4,137.8,10.6,17.2,442,2868,74.0,8.3,78.2,83.7,80.8,5.8,4.0,4.9,,1.6,,,,,,5.1,11.1,43.7,20.0,20.9,26.0,2779,2474,245,9.0,46.2,5.1,156.8,14.83,7.63,7.2,94.3,118.0,0.1
75,Malaysia,89.3,86.8,97.1,96.6,75.0,60.2,1423,3202,1066.0,7.3,43.6,77.2,60.8,3.7,3.4,3.5,16.4,2.3,,,,132.4,9.6,,93.3,,,78.6,,117335,88833,4411,9.8,27.9,7.7,87.2,28.66,13.77,14.89,108.2,331.0,21.4
76,Malta,101.5,99.7,102.0,103.7,93.8,115.6,28,30,12.0,9.2,29.4,67.5,48.2,8.4,6.3,6.9,43.0,1.0,0.0,1.0,1.0,2343.2,21.7,,100.0,,,93.3,,5220,3720,9743,6.3,15.2,22.4,1341.7,0.42,0.21,0.21,98.8,0.0,13.1
77,Mexico,109.0,101.6,107.6,109.4,56.6,53.7,7016,14700,3548.0,18.2,41.2,80.8,60.2,3.9,3.4,3.6,226.8,9.4,0.3,2.4,16.7,80.4,27.1,,41.3,,,34.2,35.5,724232,380157,4225,-5.9,29.8,8.8,58.0,113.62,58.11,55.51,95.5,1964.0,5.1
78,Monaco,152.8,138.4,133.5,132.9,179.9,144.4,2,2,1.0,22.2,35.1,57.3,45.7,5.2,2.5,3.6,482.3,3.1,0.0,0.0,0.0,1008.1,16.3,,100.0,100.0,,100.0,100.0,3417,3064,97328,2.1,13.2,34.3,22257.4,0.03,0.02,0.02,95.2,0.0,42.2
