,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
778,Mauritania,Africa,2020,PF,5,5,13,21,34,40.2,38.7,89.7,83.8,30.4,30.5,172.0,654.0,87.0,20.3,,,,,,,,1.0,,,,,,,,,,,,7252.0,8405.0,1868.0,-0.9,,,,,,,,,41.1
607,Mauritania,Africa,2021,PF,5,5,14,21,35,,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,7430.0,9996.0,2166.0,2.4,,,,,,,,,43.8
435,Mauritania,Africa,2022,PF,5,5,14,21,35,,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,7955.0,10997.0,2322.0,7.1,43.4,5.0,4.7,4.88,2.49,2.39,96.0,1031.0,44.4
267,Mauritania,Africa,2023,PF,5,5,14,22,36,,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mauritania,Africa,2024,PF,5,5,15,24,39,,,,,,,,,,23.3,26.4,57.2,41.2,15.2,8.1,10.5,,,,,,,,,,,,,,,,,,42.7,5.1,5.0,5.17,2.63,2.54,96.3,,
1032,Mauritius,Africa,2015,F,1,2,38,52,90,108.3,111.7,101.4,100.7,88.3,78.4,64.0,102.0,65.0,11.6,45.9,73.9,59.7,10.7,5.3,7.4,,1.6,,0.9,2.3,,,,,,,,,12007.0,12007.0,9285.0,3.7,18.9,14.0,636.6,1.29,0.64,0.65,100.7,,50.1
779,Mauritius,Africa,2020,F,1,2,37,52,89,110.5,114.3,98.7,97.3,83.1,75.0,55.0,83.0,59.0,20.0,,,,,,,,,,,,,,,,,,,,11844.0,11401.0,8785.0,-14.6,,,,,,,,,67.7
608,Mauritius,Africa,2021,F,1,2,37,50,87,109.8,116.2,104.1,101.7,,,53.0,84.0,,20.0,,,,,,,20.9,2.6,1.8,1.8,3.4,,46.8,,,,,,,12247.0,11476.0,8835.0,3.4,,,,,,,,,71.6
436,Mauritius,Africa,2022,F,1,2,36,50,86,,,,,,,,,,20.0,,,,,,,,2.2,,1.5,3.0,,,,,,,,,13311.0,12898.0,9926.0,8.7,15.5,18.4,628.6,1.28,0.64,0.64,100.3,2.0,75.5
268,Mauritius,Africa,2023,F,2,2,35,50,85,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Mauritius,Africa,2024,F,2,2,35,50,85,,,,,,,,,,20.0,43.0,68.0,55.3,6.2,2.9,4.2,,,,,,,,,,,,,,,,,,14.8,19.9,626.2,1.27,0.64,0.63,99.7,,
1033,Mexico,Americas,2015,PF,3,3,28,36,64,135.5,123.6,106.6,107.4,73.4,71.4,8660.0,14398.0,4813.0,38.0,43.8,78.7,60.6,4.5,4.2,4.3,38.5,17.3,1.0,3.9,31.1,220.6,29.7,,42.2,,,45.5,47.4,1213294.0,1213294.0,10098.0,2.7,28.0,9.8,61.8,121.07,62.01,59.07,95.3,,57.4
780,Mexico,Americas,2020,PF,3,3,27,35,62,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,1169145.0,1120832.0,8896.0,-8.6,,,,,,,,,71.5
609,Mexico,Americas,2021,PF,3,4,27,34,61,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,1236244.0,1313070.0,10363.0,5.7,,,,,,,,,75.6
437,Mexico,Americas,2022,PF,3,4,27,33,60,125.9,111.0,102.1,101.9,83.8,73.2,7882.0,13502.0,5231.0,50.0,,,,,,,51.0,26.1,0.5,6.0,46.2,245.7,65.5,,43.0,,,62.5,65.1,1285063.0,1463324.0,11477.0,3.9,25.3,11.5,65.6,128.61,66.21,62.4,94.2,1964.0,78.6
269,Mexico,Americas,2023,PF,3,4,27,33,60,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mexico,Americas,2024,PF,3,4,27,33,60,,,,,,,,,,50.4,46.2,77.1,61.1,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,24.5,12.2,66.8,130.86,67.4,63.46,94.2,,
1034,Micronesia,Asia,2015,F,1,1,37,56,93,,,,,,,,,,4.7,,,,,,,,3.7,,,,,,32.7,59.4,72.4,36.6,,,1055.0,1055.0,3463.0,8.6,30.8,8.7,168.4,0.52,0.26,0.26,101.5,,31.5
781,Micronesia,Asia,2020,F,1,1,37,55,92,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1078.0,1215.0,3890.0,-3.3,,,,,,,,,39.4
610,Micronesia,Asia,2021,F,1,1,37,55,92,,,,,,,,,,6.3,,,,,,,,3.8,,,,,,,,,,,,1051.0,1264.0,4017.0,-2.5,,,,,,,,,40.0
438,Micronesia,Asia,2022,F,1,1,37,55,92,,,,,,,,,,7.1,,,,,,,,,,,,,,26.8,56.2,69.6,36.9,,,1051.0,1304.0,4105.0,0.0,30.0,11.3,169.7,0.52,0.26,0.26,101.0,3.0,40.5
270,Micronesia,Asia,2023,F,1,1,37,55,92,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Micronesia,Asia,2024,F,1,1,37,55,92,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,29.7,12.3,170.9,0.53,0.26,0.26,101.0,,
1035,Monaco,Europe,2015,F,2,1,31,57,88,,,,,,,2.0,2.0,1.0,20.8,,,,,,,535.9,,2.7,0.0,0.0,1479.9,16.3,,100.0,100.0,,100.0,100.0,6259.0,6259.0,170270.0,4.9,12.3,40.7,24669.1,0.04,0.02,0.02,96.0,,93.4
924,Monaco,Europe,2016,F,2,1,31,57,88,157.6,156.4,147.3,141.8,146.2,155.0,2.0,2.0,1.0,,,,,,,,,,2.7,,,1122.2,13.5,,,,,,,,,,,,,,,,,,,
782,Monaco,Europe,2020,F,3,1,26,57,83,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,6157.0,6740.0,182537.0,-13.0,,,,,,,,,98.6
611,Monaco,Europe,2021,F,3,1,26,57,83,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,7503.0,8626.0,235133.0,21.9,,,,,,,,,98.4
439,Monaco,Europe,2022,F,3,1,27,57,84,,,,,,,2.0,2.0,2.0,33.3,,,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,8336.0,8772.0,240535.0,11.1,12.9,44.5,26128.5,0.04,0.02,0.02,96.0,0.0,98.4
271,Monaco,Europe,2023,F,3,1,27,57,84,,,,,,,,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Monaco,Europe,2024,F,3,1,25,57,82,,,,,,,,,,45.8,,,,,,,,,,,,,,,,,,,,,,,,13.5,43.5,25926.8,0.04,0.02,0.02,95.8,,
1036,Mongolia,Asia,2015,F,1,2,36,50,86,,,98.1,97.9,90.4,84.0,,251.0,123.0,14.9,53.9,66.0,59.8,4.2,5.4,4.9,15.0,7.2,0.1,3.4,11.1,309.3,12.1,7.9,33.0,44.6,44.5,59.2,66.1,11620.0,11620.0,3919.0,1.3,29.5,6.0,1.9,2.98,1.5,1.48,98.3,,22.5
783,Mongolia,Asia,2020,F,1,2,36,48,84,,,,,,,,,,17.3,,,,,,,9.4,6.2,0.1,2.4,10.1,154.8,15.3,,,,,,,13529.0,13313.0,4041.0,-4.6,,,,,,,,,62.5
612,Mongolia,Asia,2021,F,1,2,36,48,84,,,,,,,,,,17.3,,,,,,,11.1,6.2,0.1,2.5,9.8,,16.1,,,,,,,13750.0,15286.0,4566.0,1.6,,,,,,,,,81.6
440,Mongolia,Asia,2022,F,1,2,36,48,84,95.9,93.7,95.9,95.2,107.0,99.0,239.0,372.0,141.0,17.1,,,,,,,,5.9,,,,,,12.7,39.3,51.3,56.3,66.0,70.3,14442.0,17146.0,5046.0,5.0,32.9,8.0,2.2,3.39,1.7,1.69,99.7,1564.0,83.9
272,Mongolia,Asia,2023,F,1,2,36,48,84,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Mongolia,Asia,2024,F,1,2,36,48,84,,,,,,,,,,18.1,53.1,68.0,60.3,4.3,5.8,5.1,,,,,,,,,,,,,,,,,,32.2,8.7,2.2,3.48,1.74,1.73,99.4,,
1037,Montenegro,Europe,2015,F,3,2,27,44,71,93.8,96.6,97.1,99.7,86.1,88.4,31.0,38.0,29.0,17.3,47.7,60.2,53.7,17.3,17.8,17.6,22.1,2.7,0.0,0.9,4.5,130.4,4.1,,84.7,87.2,39.2,43.9,46.3,4053.0,4053.0,6393.0,3.4,18.6,20.6,45.5,0.63,0.33,0.3,93.0,,68.1
784,Montenegro,Europe,2020,PF,4,3,22,40,62,,,,,,,,,,29.6,,,,,,,,,,,,,,,,,,,,4047.0,4781.0,7600.0,-15.3,,,,,,,,,77.6
613,Montenegro,Europe,2021,PF,3,3,24,39,63,,,,,,,,,,24.7,,,,,,,,,,,,,,,,,,,,4574.0,5861.0,9334.0,13.0,,,,,,,,,82.2
441,Montenegro,Europe,2022,PF,3,3,26,41,67,96.2,97.7,100.7,100.7,86.4,84.0,31.0,38.0,25.0,27.2,,,,,,,20.4,2.6,0.2,1.9,3.3,54.2,6.4,,85.1,87.3,43.1,57.4,64.1,4867.0,6230.0,9935.0,6.4,18.5,23.6,44.5,0.61,0.32,0.3,92.7,14.0,88.2
273,Montenegro,Europe,2023,PF,3,3,26,41,67,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Montenegro,Europe,2024,PF,3,3,27,42,69,,,,,,,,,,27.2,49.3,63.9,56.3,13.7,14.1,13.9,,,,,,,,,,,,,,,,,,18.1,24.2,46.2,0.64,0.33,0.31,92.8,,
1038,Morocco,Africa,2015,PF,5,4,15,27,42,84.5,98.0,104.7,110.7,,,1667.0,4039.0,,17.0,24.4,70.6,47.5,10.4,9.1,9.5,162.3,1.2,1.9,0.6,1.9,140.1,10.0,35.6,68.3,89.3,,57.8,33.7,110414.0,110414.0,3184.0,4.3,28.1,9.2,77.5,34.61,17.15,17.46,101.8,,57.1
785,Morocco,Africa,2020,PF,5,5,13,24,37,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,121601.0,121354.0,3308.0,-6.4,,,,,,,,,84.1
614,Morocco,Africa,2021,PF,5,5,13,24,37,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,131542.0,141818.0,3825.0,8.2,,,,,,,,,88.1
442,Morocco,Africa,2022,PF,5,5,13,24,37,99.6,110.4,112.6,115.6,69.1,63.7,2028.0,4675.0,1217.0,24.1,,,,,,,155.1,1.6,1.7,0.4,2.9,90.5,15.7,46.7,74.8,90.3,,61.0,34.4,136387.0,130913.0,3495.0,3.7,26.4,11.6,83.6,37.33,18.49,18.84,101.9,447.0,90.7
274,Morocco,Africa,2023,PF,5,5,13,24,37,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Morocco,Africa,2024,PF,5,5,13,24,37,,,,,,,,,,24.3,20.0,67.9,44.0,11.1,9.2,9.7,,,,,,,,,,,,,,,,,,25.6,12.3,85.3,38.08,18.88,19.2,101.7,,
1039,Mozambique,Africa,2015,PF,4,3,23,35,58,40.2,43.9,109.2,119.8,21.9,23.9,805.0,5902.0,268.0,39.6,78.1,80.1,79.1,3.7,3.2,3.4,,,,,,,,,,,14.2,,,16209.0,16209.0,604.0,7.4,45.7,4.5,33.8,26.55,13.75,12.8,93.1,,6.5
786,Mozambique,Africa,2020,PF,5,4,14,31,45,,,,,,,,,,41.2,,,,,,,,,,,,,,,,,,,,18218.0,14235.0,457.0,-1.2,,,,,,,,,17.8
615,Mozambique,Africa,2021,PF,5,4,14,29,43,,,,,,,,,,42.4,,,,,,,,,,,,,,,,,,,,18651.0,16168.0,504.0,2.4,,,,,,,,,20.0
443,Mozambique,Africa,2022,PF,5,4,14,29,43,42.7,45.7,118.0,124.3,27.4,28.1,1021.0,7656.0,398.0,42.4,,,,,,,,,,,,,,,,,20.9,,,19464.0,18407.0,558.0,4.4,45.0,4.2,41.5,32.66,16.83,15.82,94.0,799.0,21.2
275,Mozambique,Africa,2023,PF,5,4,14,31,45,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mozambique,Africa,2024,PF,5,4,14,30,44,,,,,,,,,,43.2,78.3,79.6,78.9,3.9,3.4,3.7,,,,,,,,,,,,,,,,,,44.5,4.1,44.0,34.63,17.83,16.8,94.2,,
1142,Myanmar,Asia,2013,NF,6,5,9,17,26,,,,,,,,,,,,,,,,,9.9,2.4,0.0,0.8,4.1,5.3,0.7,,,,,,,,,,,,,,,,,,,
1123,Myanmar,Asia,2014,NF,6,5,9,17,26,67.8,65.2,113.9,112.6,40.3,34.5,2503.0,5177.0,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Myanmar,Asia,2015,NF,6,6,9,16,25,,,,,,,,,,6.2,50.8,79.0,64.7,0.9,0.7,0.8,9.5,2.5,0.0,0.9,4.2,5.7,,41.4,50.0,70.4,62.6,60.9,57.1,62543.0,62543.0,1215.0,7.0,26.5,9.1,78.2,51.09,25.59,25.5,99.6,,10.9
888,Myanmar,Asia,2018,PF,5,5,13,18,31,87.7,80.2,118.5,119.2,66.4,53.5,3059.0,5300.0,1128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Myanmar,Asia,2020,NF,5,6,14,16,30,,,,,,,,,,11.1,,,,,,,,2.9,0.0,1.0,4.9,5.8,0.0,,,,,,,73900.0,79970.0,1497.0,-1.4,,,,,,,,,
616,Myanmar,Asia,2021,NF,5,6,13,15,28,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,75590.0,71683.0,1332.0,2.3,,,,,,,,,
444,Myanmar,Asia,2022,NF,7,6,0,9,9,,,,,,,,,,15.3,,,,,,,1.6,3.9,0.0,1.1,6.6,5.6,,50.4,57.4,72.4,64.3,60.6,52.7,78243.0,65212.0,1204.0,3.5,24.7,10.8,82.3,53.76,26.98,26.78,99.3,677.0,
108,Myanmar,Asia,2024,NF,7,6,0,8,8,,,,,,,,,,,41.8,70.0,55.7,3.5,2.5,2.9,,,,,,,,,,,,,,,,,,24.3,11.4,83.4,54.5,27.37,27.13,99.1,,
1041,Namibia,Africa,2015,F,2,2,30,46,76,107.2,100.4,124.1,132.0,,,153.0,443.0,,41.3,56.4,65.4,60.6,22.5,19.1,20.8,,,,,,,,,,,,,,11335.0,11335.0,4966.0,4.3,36.5,5.4,2.9,2.37,1.22,1.15,94.4,,25.7
788,Namibia,Africa,2020,F,2,2,31,46,77,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,10335.0,10584.0,4252.0,-8.1,,,,,,,,,57.9
617,Namibia,Africa,2021,F,2,2,31,46,77,,,,,,,,,,44.2,,,,,,,374.1,12.4,2.7,6.8,18.5,,48.8,,,,,,,10699.0,12446.0,4919.0,3.5,,,,,,,,,61.1
445,Namibia,Africa,2022,F,2,2,31,46,77,119.7,113.9,130.1,135.9,,,175.0,545.0,,44.2,,,,,,,,,,,,,,,,,,,,11187.0,12607.0,4911.0,4.6,37.5,5.7,3.5,2.89,1.48,1.41,95.4,825.0,62.2
276,Namibia,Africa,2023,F,2,2,31,46,77,,,,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Namibia,Africa,2024,F,2,2,31,46,77,,,,,,,,,,44.2,56.0,63.7,59.7,18.2,20.6,19.4,,,,,,,,,,,,,,,,,,37.0,5.9,3.7,3.03,1.55,1.48,95.5,,
1124,Nauru,Asia,2014,F,1,1,38,54,92,77.6,78.3,104.3,112.4,91.0,88.7,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Nauru,Asia,2015,F,1,2,37,51,88,,,96.7,99.7,,,,2.0,,5.3,,,,,,,,,,,,,,,,,,,,104.0,104.0,9330.0,36.5,38.2,3.5,547.7,0.01,0.01,0.01,104.7,,
865,Nauru,Asia,2019,F,2,2,34,44,78,91.6,74.8,104.0,96.4,87.3,101.4,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Nauru,Asia,2020,F,2,3,34,43,77,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,111.0,136.0,11015.0,1.0,,,,,,,,,81.7
618,Nauru,Asia,2021,F,2,3,34,43,77,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,112.0,155.0,12390.0,0.7,,,,,,,,,83.3
446,Nauru,Asia,2022,F,2,3,34,43,77,100.6,91.2,97.0,93.0,,,1.0,2.0,,10.5,,,,,,,,,,,,,,,,,,,,114.0,148.0,11679.0,1.5,38.3,4.6,590.1,0.01,0.01,0.01,103.8,0.0,82.7
277,Nauru,Asia,2023,F,2,3,34,43,77,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Nauru,Asia,2024,F,2,3,34,43,77,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,37.8,5.1,597.3,0.01,0.01,0.01,103.7,,
1043,Nepal,Asia,2015,PF,3,4,24,27,51,96.9,90.6,148.1,138.0,51.2,50.0,1835.0,4335.0,1341.0,29.5,26.2,55.3,39.6,12.1,9.9,10.7,,2.2,,,,,,23.8,25.5,33.0,37.6,37.2,35.4,23667.0,23667.0,857.0,4.0,33.0,8.4,189.0,27.82,14.4,13.42,93.2,,17.6
925,Nepal,Asia,2016,PF,3,4,25,26,51,,,,,,,,,,,,,,,,,0.2,2.2,0.1,,,4.6,,,,,,,,,,,,,,,,,,,,
790,Nepal,Asia,2020,PF,3,4,25,31,56,,,,,,,,,,32.7,,,,,,,,2.1,,,,,,,,,,,,29029.0,32859.0,1120.0,-2.4,,,,,,,,,37.7
619,Nepal,Asia,2021,PF,3,4,25,31,56,,,,,,,,,,32.7,,,,,,,,,,,,,,,,,,,,30434.0,36844.0,1227.0,4.8,,,,,,,,,41.6
447,Nepal,Asia,2022,PF,3,4,25,32,57,101.3,102.9,115.7,121.8,72.3,69.7,1777.0,3485.0,1736.0,33.6,,,,,,,,,,,,,,14.2,16.1,23.2,52.2,50.6,44.6,32142.0,39407.0,1290.0,5.6,28.9,9.2,201.9,29.72,15.37,14.35,93.3,147.0,49.6
278,Nepal,Asia,2023,PF,3,4,26,32,58,,,,,,,,,,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Nepal,Asia,2024,PF,3,4,28,34,62,,,,,,,,,,33.1,28.8,53.9,40.5,12.5,10.0,10.9,,,,,,,,,,,,,,,,,,28.4,9.6,201.5,29.65,15.45,14.2,91.9,,
1044,New Zealand,Asia,2015,F,1,1,39,58,97,101.8,102.3,98.5,98.6,138.8,123.9,242.0,368.0,245.0,31.4,63.4,74.5,68.8,5.9,5.0,5.4,461.5,1.0,7.3,0.7,1.4,3062.2,112.3,,94.2,,,87.7,,178064.0,178064.0,38789.0,4.2,19.9,20.0,17.4,4.61,2.34,2.27,97.0,,85.2
866,New Zealand,Asia,2019,F,1,1,40,58,98,,,,,,,,,,,,,,,,,716.2,2.3,9.3,1.3,4.0,3004.2,129.2,,,,,,,,,,,,,,,,,,,
791,New Zealand,Asia,2020,F,1,1,40,57,97,,,,,,,,,,40.8,,,,,,,843.2,1.0,8.1,,,2650.5,132.8,,,,,,,205649.0,212401.0,41967.0,0.0,,,,,,,,,95.2
620,New Zealand,Asia,2021,F,1,1,40,59,99,102.2,102.6,98.1,97.8,146.8,132.1,276.0,385.0,263.0,48.3,,,,,,,932.2,1.1,8.0,,,,148.1,,,,,,,214847.0,253227.0,49365.0,4.5,,,,,,,,,95.7
448,New Zealand,Asia,2022,F,1,1,40,59,99,,,,,,,,,,49.2,,,,,,,,,,,,,,,100.0,,,88.7,,220973.0,245845.0,47412.0,2.9,18.6,22.4,19.4,5.13,2.58,2.55,98.6,268.0,95.7
279,New Zealand,Asia,2023,F,1,1,40,59,99,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,New Zealand,Asia,2024,F,1,1,40,59,99,,,,,,,,,,45.5,66.8,76.5,71.6,4.2,3.9,4.1,,,,,,,,,,,,,,,,,,18.1,23.3,19.7,5.21,2.62,2.59,98.8,,
1045,Nicaragua,Americas,2015,PF,4,3,19,35,54,,,106.0,109.3,,,,854.0,,39.1,48.3,82.9,65.1,5.4,4.2,4.7,,8.3,,2.1,14.8,,,38.6,55.2,67.2,,,,12757.0,12757.0,2025.0,4.8,32.2,7.0,51.1,6.15,3.13,3.02,96.6,,19.7
867,Nicaragua,Americas,2019,NF,6,5,10,22,32,,,,,,,,,,,,,,,,,14.7,7.7,0.0,1.6,14.1,,31.5,,,,,,,,,,,,,,,,,,,
792,Nicaragua,Americas,2020,NF,6,5,10,21,31,,,,,,,,,,47.3,,,,,,,,,,,,,,38.5,55.5,67.3,,,,12865.0,12678.0,1877.0,-1.8,,,,,,,,,54.9
621,Nicaragua,Americas,2021,NF,6,5,10,20,30,,,105.4,108.9,,,,881.0,,48.4,,,,,,,,11.0,,3.1,19.1,,,,,,,,,14196.0,14146.0,2065.0,10.3,,,,,,,,,54.8
449,Nicaragua,Americas,2022,NF,7,5,5,18,23,,,,,,,276.0,872.0,162.0,50.6,,,,,,,,,,,,,,,,,,,,14729.0,15672.0,2255.0,3.8,29.6,7.9,55.9,6.73,3.42,3.31,96.7,130.0,61.1
280,Nicaragua,Americas,2023,NF,7,6,5,14,19,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Nicaragua,Americas,2024,NF,7,6,4,12,16,,,,,,,,,,53.9,49.6,82.7,65.7,4.8,4.5,4.6,,,,,,,,,,,,,,,,,,28.8,8.3,57.5,6.92,3.51,3.4,96.8,,
1046,Niger,Africa,2015,PF,3,4,26,30,56,23.1,32.0,68.3,80.7,9.0,11.5,482.0,2445.0,114.0,13.3,62.1,84.7,73.6,0.5,0.6,0.6,,,,,,,,,,,4.4,6.5,17.4,9677.0,9677.0,481.0,4.8,49.2,4.0,15.7,19.94,9.82,10.12,103.1,,2.5
909,Niger,Africa,2017,PF,4,4,21,28,49,29.3,38.3,72.4,83.7,9.5,14.2,642.0,2768.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Niger,Africa,2020,PF,4,4,20,28,48,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,12636.0,13744.0,565.0,3.6,,,,,,,,,13.8
622,Niger,Africa,2021,PF,4,4,20,28,48,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,12811.0,14915.0,591.0,1.4,,,,,,,,,15.3
450,Niger,Africa,2022,PF,4,4,23,28,51,,,65.7,70.9,,,,2910.0,,25.9,,,,,,,,,,,,,,,,,5.6,8.1,20.6,14338.0,15415.0,588.0,11.9,47.3,4.1,20.0,25.31,12.46,12.85,103.1,1267.0,16.9
281,Niger,Africa,2023,PF,4,4,23,28,51,,,,,,,,,,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Niger,Africa,2024,PF,6,4,6,27,33,,,,,,,,,,,62.3,84.4,73.5,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,46.6,4.2,21.3,27.03,13.31,13.73,103.1,,
1143,Nigeria,Africa,2013,PF,4,4,20,26,46,,,,,,,,,,,,,,,,,9.4,,0.3,,,13.8,1.0,,,,,,,,,,,,,,,,,,,
1047,Nigeria,Africa,2015,PF,4,5,18,25,43,46.0,49.6,80.6,86.8,40.8,45.4,6180.0,25443.0,4936.0,6.7,54.9,64.1,59.5,3.8,4.4,4.1,,,,,,,,16.8,25.0,33.9,25.2,27.5,30.0,494583.0,494583.0,2688.0,2.7,44.3,4.7,209.4,190.67,94.52,96.15,101.7,,22.5
868,Nigeria,Africa,2019,PF,3,5,25,25,50,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,
794,Nigeria,Africa,2020,PF,4,5,22,25,47,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,501811.0,429898.0,2064.0,-1.8,,,,,,,,,31.9
623,Nigeria,Africa,2021,PF,4,5,21,24,45,50.6,51.4,86.3,87.1,43.0,43.2,7901.0,30456.0,6047.0,3.6,,,,,,,,,,,,,,,,,,,,520113.0,430924.0,2019.0,3.6,,,,,,,,,32.3
451,Nigeria,Africa,2022,PF,4,5,20,23,43,,,,,,,,,,3.6,,,,,,,,,,,,,,21.2,29.0,35.7,26.6,32.0,36.6,537025.0,475059.0,2174.0,3.3,42.0,4.8,245.0,223.15,110.37,112.78,102.2,924.0,35.5
282,Nigeria,Africa,2023,PF,4,5,20,23,43,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Nigeria,Africa,2024,PF,4,5,20,24,44,,,,,,,,,,3.9,52.3,65.9,59.1,5.0,2.3,3.5,,,,,,,,,,,,,,,,,,41.0,4.9,255.5,232.68,115.01,117.67,102.3,,
1125,North Macedonia,Europe,2014,PF,3,3,26,38,64,,,,,,,,,,,,,,,,,10.1,1.7,0.4,0.9,2.4,236.7,6.4,,,,,,,,,,,,,,,,,,,
1048,North Macedonia,Europe,2015,PF,4,3,23,37,60,78.9,79.3,96.0,95.3,74.5,74.3,85.0,109.0,84.0,33.3,43.4,67.5,55.4,25.4,27.1,26.4,7.3,1.2,0.5,0.2,2.2,,5.7,74.6,80.4,84.7,17.6,12.5,8.7,10065.0,10065.0,4775.0,3.9,18.0,19.5,79.5,1.98,1.01,0.97,96.3,,70.4
795,North Macedonia,Europe,2020,PF,3,3,24,39,63,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,10661.0,12361.0,5855.0,-4.7,,,,,,,,,81.4
624,North Macedonia,Europe,2021,PF,3,3,27,39,66,,,,,,,,,,39.2,,,,,,,,,,,,,,,,,,,,11141.0,14000.0,6656.0,4.5,,,,,,,,,83.0
452,North Macedonia,Europe,2022,PF,3,3,28,39,67,87.4,86.9,92.0,90.8,76.4,75.0,81.0,106.0,71.0,41.7,,,,,,,6.5,0.9,0.3,0.3,1.4,,4.3,74.4,80.4,84.6,18.0,12.2,8.2,11386.0,13711.0,6549.0,2.2,17.2,23.7,73.9,1.84,0.95,0.9,94.7,26.0,84.2
283,North Macedonia,Europe,2023,PF,3,3,29,39,68,,,,,,,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
