,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
73,Israel,Middle East,2024,F,2,3,34,40,74,,,,,,,,,,25.0,61.1,69.1,65.0,3.7,3.8,3.8,,,,,,,,,,,,,,,,,,27.4,16.5,433.7,9.39,4.71,4.67,99.2,,
1006,Italy,Europe,2015,F,1,1,36,53,89,103.1,105.8,100.2,100.6,99.0,99.5,1773.0,2856.0,2833.0,31.0,39.8,58.9,49.0,12.7,11.3,11.9,108.0,0.8,0.5,0.4,1.1,2040.6,7.5,,94.3,,78.1,79.0,79.4,1835899.0,1835899.0,30480.0,0.8,13.7,28.1,204.7,60.58,31.17,29.4,94.3,,58.1
753,Italy,Europe,2020,F,1,1,36,53,89,,,,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,1745316.0,1897462.0,31890.0,-9.0,,,,,,,,,70.5
582,Italy,Europe,2021,F,1,1,36,54,90,102.1,103.8,101.2,102.0,101.4,102.5,1751.0,2671.0,2898.0,35.7,,,,,,,,,,,,,,,,,,,,1890418.0,2155360.0,36383.0,8.3,,,,,,,,,74.9
410,Italy,Europe,2022,F,1,1,36,54,90,,,,,,,,,,36.3,,,,,,,106.4,0.5,0.2,0.4,0.7,1431.2,11.5,,92.7,,78.1,79.0,79.4,1960827.0,2046953.0,34672.0,3.7,12.4,30.9,201.4,59.62,30.51,29.11,95.4,302.0,85.1
243,Italy,Europe,2023,F,1,1,36,54,90,,,,,,,,,,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Italy,Europe,2024,F,1,1,36,54,90,,,,,,,,,,32.3,41.0,58.7,49.5,9.0,7.0,7.9,,,,,,,,,,,,,,,,,,11.9,32.1,200.5,59.34,30.34,29.0,95.6,,
1007,Jamaica,Americas,2015,F,2,3,34,40,74,96.4,90.7,97.8,92.8,81.5,77.6,131.0,259.0,84.0,12.7,58.8,72.9,65.7,11.5,6.6,8.8,105.0,43.3,0.5,8.2,78.8,12.0,73.3,,,,,,,14198.0,14198.0,5081.0,0.9,23.4,9.5,258.8,2.8,1.41,1.39,98.4,,42.2
754,Jamaica,Americas,2020,F,2,2,34,44,78,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,13464.0,13812.0,4897.0,-9.9,,,,,,,,,76.4
583,Jamaica,Americas,2021,F,2,2,34,46,80,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,14083.0,14658.0,5184.0,4.6,,,,,,,,,82.4
411,Jamaica,Americas,2022,F,2,2,34,46,80,85.7,86.1,89.8,91.7,81.4,80.7,110.0,213.0,74.0,28.6,,,,,,,90.7,53.3,0.7,8.7,98.7,28.4,61.8,,,,,,,14675.0,17098.0,6047.0,4.2,19.6,12.0,262.2,2.84,1.43,1.41,98.0,11.0,85.1
244,Jamaica,Americas,2023,F,2,2,34,46,80,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Jamaica,Americas,2024,F,2,2,33,47,80,,,,,,,,,,27.4,61.0,76.2,68.5,6.2,4.6,5.3,,,,,,,,,,,,,,,,,,18.7,13.0,262.2,2.84,1.44,1.4,97.8,,
1008,Japan,Asia,2015,F,1,1,39,55,94,101.6,101.7,102.3,102.6,103.0,102.5,3551.0,6638.0,3670.0,9.5,49.4,70.3,59.5,3.1,3.6,3.4,19.8,0.3,0.2,0.3,0.2,323.3,6.2,,98.4,,,98.6,,4444931.0,4444931.0,34930.0,1.6,12.8,33.6,337.8,127.28,65.07,62.2,95.6,,91.1
755,Japan,Asia,2020,F,1,1,40,56,96,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,4369043.0,5048790.0,40311.0,-4.3,,,,,,,,,90.2
584,Japan,Asia,2021,F,1,1,40,56,96,100.9,101.0,102.2,102.2,103.7,103.0,3276.0,6380.0,3438.0,9.9,,,,,,,14.6,0.2,0.3,0.2,0.2,276.5,4.6,,,,,,,4462649.0,5005537.0,40169.0,2.1,,,,,,,,,82.9
412,Japan,Asia,2022,F,1,1,40,56,96,,,,,,,,,,9.7,,,,,,,15.7,0.2,0.3,,,299.6,5.1,,98.7,,,99.1,,4509358.0,4232174.0,34144.0,1.0,11.9,35.4,331.7,125.0,63.97,61.03,95.4,378.0,84.9
245,Japan,Asia,2023,F,1,1,40,56,96,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Japan,Asia,2024,F,1,1,40,56,96,,,,,,,,,,10.3,55.2,72.1,63.4,2.6,2.9,2.8,,,,,,,,,,,,,,,,,,11.4,35.9,328.4,123.75,63.38,60.37,95.3,,
1121,Jordan,Middle East,2014,NF,6,5,11,24,35,79.3,77.7,87.3,87.8,66.8,57.0,534.0,980.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
